,Timewindow,Sentiment,Volume,TweetIds
85,23-September-2022 18:30:00-18:59:59,-0.01757272727272727,11,"1573385701718097920,1573385498705502209,1573384720649687041,1573384295347269633,1573384197624172544,1573383936113545216,1573383063182413824,1573382951425159169,1573382922736107520,1573380687603924992,1573379532190789632"
86,23-September-2022 19:00:00-19:29:59,0.09723333333333331,9,"1573393327583797248,1573391054405271554,1573390751769464832,1573390083478401025,1573389804468928517,1573388494654902284,1573388488904523777,1573387037285421056,1573386978925871104"
87,23-September-2022 19:30:00-19:59:59,-0.0934,4,"1573396604576571392,1573395910805127171,1573395027287756800,1573394868877299712"
88,23-September-2022 20:00:00-20:29:59,0.19260000000000002,11,"1573408915450363904,1573408418928508939,1573407876164767744,1573406118894006272,1573405413315428356,1573404348520206337,1573404088041193473,1573403843219669049,1573403593004253202,1573402577944936455,1573401846097608707"
89,23-September-2022 20:30:00-20:59:59,0.2891785714285714,14,"1573416771369193472,1573416446608261128,1573415713519587330,1573415139738632211,1573414041686777856,1573413639381741568,1573413535019061248,1573413228507697153,1573413225907236864,1573413007300136960,1573412171945590791,1573411089328787456,1573410436686712832,1573409367994646536"
90,23-September-2022 21:00:00-21:29:59,0.2882916666666667,12,"1573423861059624960,1573422269229064209,1573421067674451973,1573420047586168832,1573418367113113602,1573418346259030016,1573417130929930244,1573417037019463684,1573417019269169160,1573417014609297563,1573417011211911176,1573417008141475841"
91,23-September-2022 21:30:00-21:59:59,0.06456428571428571,14,"1573431248818692108,1573430547048763392,1573429666387755009,1573429314921586695,1573429271745687553,1573428758425526289,1573427746323193865,1573427633680965634,1573427106587021313,1573426184041660417,1573425978268868613,1573425893552316431,1573425043429810176,1573424600175763470"
92,23-September-2022 22:00:00-22:29:59,0.076,4,"1573438936713928704,1573433448223723529,1573432232433582080,1573432151290388480"
93,23-September-2022 22:30:00-22:59:59,0.2864666666666667,3,"1573443443073994769,1573441412246675457,1573439810760593414"
94,23-September-2022 23:00:00-23:29:59,0.10745000000000005,2,"1573452043167191056,1573448135745196046"
95,23-September-2022 23:30:00-23:59:59,0.35590000000000005,15,"1573460464465547264,1573460269535199244,1573460207992127488,1573459960175919130,1573459499288907778,1573459497334497282,1573457229365202945,1573456480140918786,1573456390319923201,1573456057573281793,1573454895281278979,1573454894022918150,1573454891619680256,1573454889384017928,1573454796731842571"
96,24-September-2022 0:00:00-0:29:59,0.36933333333333335,3,"1573464930212519936,1573463643571703808,1573462918116540428"
97,24-September-2022 0:30:00-0:59:59,0.42560000000000003,3,"1573476848486346754,1573475016640851969,1573470394303946752"
98,24-September-2022 1:00:00-1:29:59,0.3558666666666666,3,"1573481750335987726,1573480927849750538,1573480729371033600"
99,24-September-2022 1:30:00-1:59:59,0.64895,4,"1573490855373070336,1573489966378012672,1573489116850823185,1573486850689343490"
100,24-September-2022 2:00:00-2:29:59,0.06123333333333334,6,"1573499793644879879,1573496645119000579,1573493776517337088,1573493567963779072,1573493475416358922,1573493269350141952"
101,24-September-2022 2:30:00-2:59:59,0.23451428571428576,7,"1573502548060815376,1573502164164833281,1573502091078811668,1573501934484725761,1573501479100497942,1573500856074387460,1573499965455974400"
102,24-September-2022 3:00:00-3:29:59,0.22147500000000003,8,"1573512849241956352,1573512415165259785,1573509368532045825,1573509063853252609,1573508791207100417,1573508554442645507,1573508201416650753,1573507647176933376"
103,24-September-2022 3:30:00-3:59:59,0.29632000000000003,5,"1573522435667857414,1573519146167504905,1573517364918104064,1573516019594928128,1573515392089301008"
104,24-September-2022 4:00:00-4:29:59,-0.10078333333333334,6,"1573528197865607172,1573528178198515715,1573526020858466304,1573525993431539712,1573523633498165256,1573522624847745044"
105,24-September-2022 4:30:00-4:59:59,0.39902000000000004,5,"1573536142489690113,1573535549318696960,1573535452451278848,1573531672376745985,1573531393304543233"
106,24-September-2022 5:00:00-5:29:59,0.34705,2,"1573541204184006656,1573540355168952320"
107,24-September-2022 5:30:00-5:59:59,-0.28145,4,"1573552707683594240,1573546558380974080,1573546272585355269,1573545269471371264"
108,24-September-2022 6:00:00-6:29:59,0.1650625,8,"1573558959629160448,1573558665034043392,1573557441446510594,1573556874712064003,1573556594268405760,1573556494246858752,1573553385168592898,1573552875753684992"
109,24-September-2022 6:30:00-6:59:59,-0.35612499999999997,4,"1573567781227872257,1573567621215174657,1573564895714476032,1573560826568515590"
